feature,importance
PVI_a,0.4883712771573993
Hi(2)_{sd},0.07591599635825085
CCa(7),0.06829595495183291
CCi(2),0.06567475746110907
dCCa(3),0.04017605888417485
Ha(5)_{mu},0.027712229762555326
Ha(5)_{sd},0.02539679646611618
Ha(7)_{mu},0.02536145884302026
CCa(6),0.019826448547547837
CCi(7),0.018703786970661766
CCa(12),0.015837616435028557
GNEi_{\mu},0.014867592147700765
CCi(3),0.014806067340865751
Ha(5)_{rel},0.012832042449297457
J1_i,0.0121775441507102
S5_a,0.008402950613482181
HNR_i,0.007924542470219632
CCi(11),0.006884848554695843
dCCa(11),0.006442548782221366
PFR_a,0.005390936921286018
J3_i,0.005099385136526024
S55_i,0.0043090043381498605
J5_i,0.004246794333578346
Ha(6)_{mu},0.0028540513631294937
ID,0.002773654072712894
Hi(3)_{sd},0.002740451587012526
Hi(2)_{mu},0.0020992535300240495
DPF_i,0.0019978412465636443
dCCa(1),0.0016740181108064744
Hi(5)_{rel},0.0014279381603499286
dCCa(2),0.0013570684825858737
J55_i,0.0010632852431595216
CCi(8),0.0009296771054450935
Ha(6)_{rel},0.0007941054284675589
Ha(1)_{rel},0.0007269782965161432
Age,0.0006525736482162996
dCCa(10),0.0005162358877916268
Ha(8)_{rel},0.0004457839207424708
CCa(11),0.0004274871251537519
Hi(3)_{mu},0.0003901670885713783
Ha(4)_{rel},0.0003127413118289722
dCCi(10),0.00025624667649200387
Ha(1)_{mu},0.00021758141798440975
CCa(9),0.00015872376489803837
J5_a,0.00015709378879697036
Ha(3)_{mu},0.00013668541252035926
dCCa(8),0.00013501483789941397
dCCi(5),0.00012653487636253336
J55_a,0.00011986644913653853
Ha(3)_{rel},0.00011556010289909362
CCi(12),8.808131531905563e-05
Ha(3)_{sd},6.877617619018815e-05
Hi(1)_{rel},5.785315706170476e-05
Hi(5)_{mu},5.475326258501439e-05
dCCa(12),5.2486754713258663e-05
Ha(1)_{sd},4.681193740860278e-05
HNR_a,4.372392140903411e-05
CCi(9),3.901438058644237e-05
Ha(7)_{sd},3.699495964331354e-05
GNEi_{\sigma},2.9233490525994585e-05
CCi(5),2.7631092893205423e-05
CCa(5),2.4953306512841316e-05
Ha(4)_{sd},1.8302988095124278e-05
Hi(8)_{sd},1.782345127971861e-05
CCi(10),1.4490796004948425e-05
d_1,1.0436934800080952e-05
GNEa_{\mu},1.0267896362047812e-05
Hi(7)_{rel},8.124051175093802e-06
dCCi(9),8.003398134422865e-06
S55_a,7.784383708917349e-06
dCCa(9),7.359753225583084e-06
Hi(2)_{rel},6.4341368402535286e-06
dCCa(5),5.305192570444858e-06
Hi(1)_{sd},4.398175891296775e-06
CCa(8),4.287493492445922e-06
dCCi(4),4.182492612069399e-06
dCCi(6),3.2705644364504473e-06
Hi(7)_{sd},3.0845937615582487e-06
F2_i,2.7982707300425624e-06
S11_a,2.7900351016290627e-06
dCCi(8),2.582384362149728e-06
CCi(6),2.5174664344546666e-06
Hi(4)_{rel},2.3484871850420463e-06
PFR_i,2.0741390583149156e-06
Hi(7)_{mu},1.8980983821350246e-06
dCCa(4),1.8018330945747983e-06
F2_{conv},1.7186460933483118e-06
Hi(5)_{sd},1.4261296511737674e-06
Hi(6)_{mu},1.3701010673143394e-06
dCCi(3),1.144705548820746e-06
CCa(2),1.086990403088163e-06
dCCi(12),8.185433507563248e-07
dCCi(2),7.727511480197587e-07
PVI_i,7.474742533763197e-07
CCa(1),7.029012895645048e-07
Hi(1)_{mu},6.931533872945543e-07
S3_i,5.903299030909598e-07
dCCi(1),4.971693033148606e-07
CCi(4),4.707105483640549e-07
Ha(6)_{sd},3.4822151574177044e-07
PPE_a,2.9804573132499704e-07
Ha(8)_{mu},2.576180593694251e-07
CCa(10),2.4252530185313507e-07
S11_i,2.1135528536253e-07
Hi(4)_{sd},1.792066217446642e-07
dCCa(6),1.3337136682737092e-07
Hi(8)_{rel},1.0110023069988448e-07
Ha(2)_{sd},6.963840405425144e-08
PPE_i,3.7486393095573684e-08
J1_a,3.6384154420089186e-08
dCCa(7),2.615588349637129e-08
Ha(8)_{sd},2.5881779557693747e-08
Hi(8)_{mu},1.9660537546813244e-08
Ha(7)_{rel},1.6599494944603497e-08
GNEa_{\sigma},1.1557479299904626e-08
Hi(6)_{sd},6.4019220710444285e-09
CCa(3),3.998062904462323e-10
S1_a,0.0
J3_a,0.0
S1_i,0.0
CCa(4),0.0
S3_a,0.0
DPF_a,0.0
Ha(4)_{mu},0.0
Ha(2)_{mu},0.0
Ha(2)_{rel},0.0
S5_i,0.0
Hi(3)_{rel},0.0
Hi(4)_{mu},0.0
CCi(1),0.0
Hi(6)_{rel},0.0
dCCi(7),0.0
dCCi(11),0.0
Sex_F,0.0
Sex_M,0.0
