feature,importance
PVI_a,0.44628768404502284
PFR_a,0.0530443137465203
CCi(2),0.039535750816432576
CCi(6),0.036837049283196685
CCi(11),0.022239612175623726
Hi(2)_{sd},0.020018670298755523
dCCa(3),0.019101286425856023
Ha(8)_{mu},0.018462454171217814
ID,0.01814764405739155
d_1,0.017777879762810016
Ha(7)_{sd},0.01393976733999023
CCi(7),0.013717198156346207
dCCi(5),0.013187231813380171
CCa(7),0.01182261522657699
CCa(12),0.011031735939475788
CCi(3),0.010009588096429562
Ha(7)_{rel},0.00957346337392243
F2_i,0.009046716623141816
Ha(7)_{mu},0.008540035257542091
dCCa(12),0.0068573128380622255
F2_{conv},0.006381279811411029
dCCi(4),0.006350390787526847
Ha(8)_{sd},0.005919063011884013
dCCa(4),0.005865115895708524
CCa(6),0.0057313943477969856
Hi(1)_{rel},0.005651750637993522
S5_i,0.005495607851235383
CCi(8),0.005137894041661454
Ha(1)_{mu},0.005129963741061438
Ha(4)_{sd},0.004817287113129037
CCi(1),0.004561020519326444
dCCa(1),0.0044557365792321085
CCa(8),0.004440273032782451
PPE_a,0.004367560019297762
Ha(5)_{rel},0.004299386051163287
S55_i,0.003981379626804464
CCa(5),0.0038987007216995844
GNEa_{\sigma},0.003819077334814416
dCCi(3),0.0037387665959094547
Ha(1)_{rel},0.003696835758327695
dCCa(2),0.0036150218195920656
Ha(8)_{rel},0.0035817471196925264
GNEi_{\sigma},0.0034325214606440615
Ha(3)_{mu},0.0033952223458934994
Hi(2)_{rel},0.003208100757607216
CCa(11),0.002989381873446276
Hi(8)_{rel},0.0029687034390461055
Hi(7)_{mu},0.0027273119065061085
HNR_i,0.0027060628445877105
Hi(8)_{mu},0.0026880346605578807
CCa(1),0.0026578172197428305
J55_a,0.002603870619865984
Ha(3)_{sd},0.0024596199805533214
Ha(5)_{mu},0.002449894427651972
dCCi(8),0.002254435619097274
GNEa_{\mu},0.002243109857390711
CCi(10),0.0021785905180152754
CCa(4),0.0018898592020286068
Hi(3)_{rel},0.0018659798550416371
GNEi_{\mu},0.0018568690673566339
J55_i,0.001817254540566088
Hi(1)_{mu},0.0018061363297555161
Ha(2)_{rel},0.0017046483713150382
dCCa(6),0.001659503851329356
CCi(4),0.0015529015598387775
S11_i,0.0015484266340422314
CCa(10),0.001492942357969899
Ha(6)_{mu},0.0014317298125261838
DPF_i,0.0014208381994811363
CCa(9),0.0014187612313858167
S1_i,0.0013912309713968222
Hi(6)_{sd},0.0013203697830183392
dCCa(10),0.0012516170655705542
J3_a,0.0012420308403255918
Hi(2)_{mu},0.001113940174115969
S3_i,0.0011089875135937804
J3_i,0.0011056483581511403
Ha(4)_{rel},0.0010824720272037936
S5_a,0.0010456907624395325
Hi(8)_{sd},0.0009731725860758116
dCCi(11),0.0009503638535896602
Hi(4)_{mu},0.0009368191721132896
Ha(4)_{mu},0.0008456659619450303
CCi(9),0.0008346600492591954
Ha(3)_{rel},0.0007674958451449015
J1_a,0.0007367795603089721
Hi(3)_{sd},0.0007366487366487368
dCCi(10),0.0007320261437908498
Ha(2)_{sd},0.0007267470386491515
Ha(2)_{mu},0.0007221213115949958
dCCa(5),0.0007016540349873683
HNR_a,0.0006840253342716397
dCCa(7),0.0006802721088435375
CCa(3),0.0006758575077540596
CCa(2),0.0006699346405228758
Hi(5)_{mu},0.0006613756613756612
DPF_a,0.0006483235018134279
dCCa(11),0.0006297795771479982
J1_i,0.0006256109481915931
dCCa(9),0.0006082328662973825
dCCi(12),0.0006059687926071809
Ha(6)_{sd},0.0005993716931216932
dCCi(1),0.0003997370151216306
dCCi(6),0.00038957876795714646
Hi(1)_{sd},0.0003886239180356829
Hi(5)_{sd},0.00037893141341417236
J5_i,0.0003775238480466503
PFR_i,0.0003771551724137923
Hi(4)_{rel},0.000375366568914956
Hi(3)_{mu},0.00035966737792295604
CCi(5),0.0003306878306878306
Age,0.00032679738562091496
Ha(5)_{sd},0.00032552083333333326
Ha(1)_{sd},0.00032467532467532473
PVI_i,0.0003203203203203202
J5_a,0.00029411764705882356
CCi(12),0.00028278543655001773
dCCi(9),0.00026455026455026457
S11_a,0.00026455026455026457
Ha(6)_{rel},0.0002627257799671593
S1_a,0.0
S55_a,0.0
S3_a,0.0
dCCa(8),0.0
PPE_i,0.0
Hi(6)_{mu},0.0
Hi(4)_{sd},0.0
Hi(5)_{rel},0.0
Hi(7)_{sd},0.0
Hi(6)_{rel},0.0
Hi(7)_{rel},0.0
dCCi(7),0.0
dCCi(2),0.0
Sex_F,0.0
Sex_M,0.0
